,crowding_infinite,crowding_max,crowding_mean,crowding_median,crowding_min,crowding_stdev,crowding_total,dominated_pareto_area,generation,invalid_entries,objective_0_max,objective_0_mean,objective_0_median,objective_0_min,objective_0_stdev,objective_1_max,objective_1_mean,objective_1_median,objective_1_min,objective_1_stdev,pareto_front_area,total_entries,valid_entries
llama3-focus_fitness.csv,3.0,0.2000333585146023,0.0352427008111976,0.0106864741615025,0.0,0.0559993015350286,59.0,,30.0,181.0,0.9226999878883362,0.857694895590766,0.8841999769210815,0.6969999670982361,0.0626524960502736,541495.0,316079.6271186441,313462.0,10942.0,203009.99812909655,74904.81845068932,240.0,59.0
deepseek-focus_fitness.csv,4.0,0.4313286326901593,0.0270101128632224,0.0112046828929486,0.0,0.0601731901490958,57.0,56137.358211159706,30.0,181.0,0.9210999608039856,0.9065368227791368,0.9057999849319458,0.8853999972343445,0.0078002843706532,2078614.0,551164.4736842106,516886.0,455830.0,213266.80081574424,49877.68576782942,238.0,57.0
llama-extreme_fitness.csv,2.0,0.6904163006223458,0.0396843545265955,0.0,0.0,0.1306951502492084,35.0,,30.0,204.0,0.927299976348877,0.901482846055712,0.911300003528595,0.885699987411499,0.012684055418344,1289448.0,539010.3428571429,518230.0,515302.0,130586.0012545131,121426.95510077477,239.0,35.0
qwen-normal_fitness.csv,4.0,0.39880690222555,0.0244299725095308,0.0015964616011928,0.0,0.0705477206858136,58.0,459795.2051250935,30.0,171.0,0.9164999723434448,0.9043655015271286,0.9101999998092652,0.7426999807357788,0.023342450894347,909706.0,500050.1896551724,518230.0,63306.0,186403.16801007293,56166.369861513376,229.0,58.0
deepseek-extreme_fitness.csv,4.0,0.5440028313277915,0.0606382913900887,0.0133177445152617,0.0,0.133382341968316,34.0,,30.0,199.0,0.9146999716758728,0.9049970314783208,0.9091499745845796,0.8822999596595764,0.0091123148741765,716446.0,535902.2058823529,518230.0,518209.0,57001.12521046719,46591.95094975829,233.0,34.0
mean,3.4,0.4529176050760898,0.037401086420127,0.007361072634181121,0.0,0.09015954091749248,48.6,257966.2816681266,30.0,187.2,0.9204599738121033,0.895015419486213,0.9041299879550934,0.8186199784278869,0.023118320321558864,1107141.8,488441.3678395046,477007.6,312717.8,158053.4186839788,69793.55602611303,235.8,48.6
std,0.8944271909999159,0.18169111348531056,0.014370645114614857,0.006097739452563772,0.0,0.038607230004381356,12.895735729302148,285429.2008320039,0.0,13.79130160644745,0.005026731476708479,0.02094306840122487,0.011329702806260987,0.09161019557354784,0.022927524850702707,610035.6939435594,98218.21979289695,91426.62201350326,253487.16565183335,64883.25077627343,30873.894606142327,4.658325879540846,12.895735729302148
